Original|Replacement
Atsuya Uki|Lemozaqahur
Attack|Haneqafugaz
Attack Force|Pogapu
Attack Force Z|Zobizuwujo
Attack of the 50 Foot Woman|Tevaz
Attack of the 50 Ft. Woman|Kotumem
Attack of the Crab Monsters|Guvakemaxu
Attack of the Giant Leeches|Kexoxidopuy
Attack of the Puppet People|Xaporinicob
Attack on the Iron Coast|Bodeyini
Attack the Block|Getuhamopev
Attenberg|Napufiwijo
Attila|Ronixilet
Attila Dargay|Hogowapira
Attila Marcel|Jacakeceva
Au Hasard Balthazar|Ruvaxo
Aubrey Dollar|Papujoku
Aubrey Plaza|Royejeguha
Audie England|Tazitanu
Audie Murphy|Ceboyucurug
Audition|Meyadovu
Audra Lindley|Nowupefec
Audrey Dalton|Mujomak
Audrey Hepburn|Nipag
Audrey Long|Zogagawovu
Audrey Meadows|Belejapuhim
Audrey Niffenegger|Hitibuzusaro
Audrey Rose|Keminojujan
Audrey Tautou|Xakipix
Audrey Totter|Pavobubiwu
Audrey Wells|Piqirer
Auggie Rose|Qazupoz
August|Divoy
August Evening|Jipanutexezi
August Rush|Cucohumefusu
August Schellenberg|Pirugipane
August Strindberg|Dezalita
Auguste Le Breton|Ferasu
Augusten Burroughs|Pujujatiwux
Augusto Caminito|Bocaguyo
Augustus Goetz|Cebuyeci
Augustus Phillips|Lopimano
Aunjanue Ellis|Wiyewaga
Auntie Mame|Mevov
Auraeus Solito|Dugipobamuwa
Aurania Rouverol|Lusegecareme
Aurelius Battaglia|Bopivilu
Aurora|Xuruha
Aurora Borealis|Cuquhaja
Aurora Miranda|Kumobamokam
Aurélien Recoing|Voqadezas
Austenland|Towofecife
Austin Bunn|Nimuboxefebi
Austin Butler|Rakiwezal
Austin Chick|Caruhe
Austin Green|Xamotufus
Austin O'Brien|Xapasag
Austin Parker|Qahadirivire
Austin Pendleton|Wesum
Austin Powers in Goldmember|Kacipike
Austin Rogers|Boqoyixam
Austin Stoker|Xiguruv
Austin Strong|Yetoyohexi
Austin Williams|Novonino
Australia|Tifuhi
Austregésilo Carrano|Bijakecako
Author! Author!|Mokutaqab
Authors Anonymous|Nilijoleso
Auto Focus|Buhuvoc
Autopsy|Hatibohivo
Autumn Ball|Cuqovaxonuza
Autumn Leaves|Zipec
Autumn Sonata|Puqidoqizaxi
Autumn Spring|Kaxapo
Autumn Tale|Gudifuwu
Autumn in New York|Cosasujiyax
Autómata|Taxeneyowubo
Ava DuVernay|Wocaki
Ava Gardner|Zubehut
Avalanche|Nafacuwilav
Avalon|Tukasay
Avanti!|Ciyaleni
Avatar|Filenosusu
Avenger|Cevunodu
Avenging Angelo|Yuyetuke
Avenue Montaigne|Pepeci
Avery Brooks|Zuceko
Avery Corman|Muvabetukaq
Avery Duff|Qiwij
Avery Hopwood|Wanuzud
Avi Hoffman|Lokisorodu
Avi Korine|Qiqurimip
Avi Nesher|Wubalawup
Aviva Kempner|Sulefew
Avra Wing|Ziduw
Awake|Wovawofav
Awakenings|Tinon
Away We Go|Pilokuqo
Away from Her|Roqilerud
Ax 'Em|Tubozica
Axel Corti|Minariqoquw
Axel Scheffler|Toyicobuval
Aya Irizuki|Pobadejido
Aya Ueto|Gasas
Aya of Yop City|Kehizasodir
Ayaan Hirsi Ali|Qimakeruz
Ayad Akhtar|Kowaqik
Ayako Yoshida|Hapoj
Ayano Shiraishi|Zuzosis
Ayelet Waldman|Wuvunupo
Ayelet Zurer|Lelubofiwura
Ayesha Dharker|Gejofigup
Ayesha Mohan|Nujurox
Ayesha Takia|Licizicewu
Ayn Rand|Doroqefe
Ayn Ruymen|Karalet
Ayrton Senna|Toceqohe
Ayu Kitaura|Cajapaqa
Ayushmann Khurrana|Nuzobije
Azerbaijani|Tetor
Aziz Ansari|Gexaten
Aziz Mirza|Foyonox
Azumi|Hasijew
Azura Skye|Redek
Aída Bortnik|Wozobec
B*A*P*S|Puhifojutacu
B. Cole|Juqutohamime
B. Monkey|Gudelidin
B. Traven|Zalipepabiki
B.F.'s Daughter|Mowidaxekec
B.Z. Goldberg|Yibidaq
BASEketball|Rayavumokuh
BJ McDonnell|Fefaxatufin
BURN-E|Porexese
BUtterfield 8|Qupoyiweze
Baadasssss!|Kaqikigilit
Baard Owe|Hazari
Baarìa|Fixuliwoded
Babak Payami|Jofizifiqowi
Babaloo Mandel|Popav
Babbar Subhash|Befawaqofe
Babe|Kaxizobac
Babe Ruth|Fiyadijunay
Babel|Sitacidib
Babes in Arms|Xitazeyohuva
Babes in Toyland|Tibaxapoha
Babes on Broadway|Gunayodizucu
Babette's Feast|Veleyiqo
Babies|Jubinepo
Baby Boom|Famitumabefu
Baby Boy|Tupafixenic
Baby Doll|Mocibekase
Baby Face|Behoz
Baby Geniuses|Gokapanaxec
Baby Mama|Sudejurufu
Baby Peggy|Cuqazok
Baby Take a Bow|Males
Baby the Rain Must Fall|Fixewi
Baby's Day Out|Caqev
Babylon|Fodokej
Babylon A.D.|Pizuti
Babysitter Wanted|Lofuse
Babysitting|Sibivida
Bachelor Mother|Kaduli
Bachelor Party|Yacizovuve
Bachelor Party Vegas|Baxize
Bachelor in Paradise|Hixiba
Bachelorette|Robabure
Back Door to Hell|Rovopixitex
Back Street|Qebedadoqona
Back from Eternity|Nunutubuz
Back in Business|Xocuguxupe
Back in the Day|Yikawe
Back in the Saddle|Teteda
Back to Bataan|Pebiva
Back to School|Mobaconediq
Back to School with Franklin|Notadujal
Back to the Beach|Yuyufufuwogo
Back to the Future|Quteyajov
Back to the Future Part II|Ziripalubepe
Back to the Future Part III|Fahoxewizu
Backbeat|Fisoruy
Backdraft|Canev
Backfire|Hidowepobe
Background to Danger|Yuvavoyanixe
Backlash|Zesiy
Backstage|Caqecewev
Bad Ass|Qafotutuk
Bad Biology|Lifuxovos
Bad Boy|Yuredozuwun
Bad Boy Bubby|Wuyag
Bad Boys|Feqiw
Bad Boys II|Bakojuh
Bad Company|Nojus
Bad Country|Vunimakim
Bad Day at Black Rock|Detawu
Bad Day on the Block|Rewelayaco
Bad Dreams|Maxeh
Bad Education|Tesamamugeye
Bad Eggs|Kigexozogaje
Bad Girl|Sakapa
Bad Girls|Taxevono
Bad Girls Go to Hell|Poqekeziwebe
Bad Influence|Lozomuvuzi
Bad Johnson|Qofowoc
Bad Karma|Yegagahibi
Bad Lieutenant|Yohexupoyak
Bad Luck Love|Hatugiyakox
Bad Medicine|Bebixa
Bad Moon|Bamuyilonub
Bad News Bears|Miriviponila
Bad Ronald|Menahikuyuwu
Bad Santa|Xejucawilepu
Bad Taste|Kozamil
Bad Teacher|Cubimomujeyo
Bad Timing|Naxeponove
Bad Words|Mogono
Badlands|Pivuyelez
Badman's Territory|Ticamunuwamo
Baffled!|Vaziru
Baggage Claim|Qehit
Baghban|Xidomowelil
Baghead|Qiloma
Bahar Soomekh|Povigozusuy
Bahman Ghobadi|Yulihaf
Bahram Beizai|Xizowuzav
Bahram Tavakoli|Zokipilisati
Bai Ling|Sowefo
Bailee Madison|Pimejazazal
Baillie Walsh|Hemaqice
Bait|Qiduhebaj
Bakhtyar Khudojnazarov|Timem
Bala|Kuriqequdol
Ball of Fire|Baloju
Ballad of a Soldier|Nucagube
Ballad of the Little Soldier|Lurakucu
Ballast|Curobuti
Ballet Shoes|Gisevivu
Balls of Fury|Qejaja
Baltasar Kormákur|Yaqelitodez
Balto|Sililoseyes
Balys Sruoga|Nimoso
Bam Margera|Gisaxan
Bamako|Tuqabivosav
Bambi|Bijev
Bambi II|Qugucav
Bamboozled|Miwetaqanega
Banana Joe|Licur
Bananas|Bexoqigice
Band of the Hand|Figumisito
Bandidas|Qedacuweza
Bandit Queen|Kedapuy
Bandits|Zakezozega
Bandolero!|Towupofix
Bandslam|Qamih
Bandwagon|Cesofo
Bang Bang You're Dead|Wilatoli
Bang the Drum Slowly|Qikena
Bangkok Dangerous|Wupeze
Banjong Pisanthanakun|Satof
Banmei Takahashi|Sexuxe
Banshee Chapter|Kivonuneh
Bapsi Sidhwa|Dibuhenuma
Bar Girls|Jucivu
Barabbas|Wonogebukegi
Baran|Heyebogaju
Baran bo Odar|Pamalirawa
Barb Wire|Vuyuvehawac
Barbara|Wiponobekovo
Barbara Ann Teer|Casafecuwa
Barbara Bach|Foculoxanovu
Barbara Bain|Danicefub
Barbara Barrie|Taligaxi
Barbara Bates|Jetayagax
Barbara Baxley|Gohebezika
Barbara Bedford|Jezurezo
Barbara Bel Geddes|Bahukaxu
Barbara Benedek|Pupasofin
Barbara Brancaccio|Zogiwodadeq
Barbara Branden|Kepaxat
Barbara Britton|Vubejixuze
Barbara Burska|Cigehugaqun
Barbara Carrera|Sijulo
Barbara Crampton|Carey
Barbara Cupisti|Bepigis
Barbara Curry|Yehuwefusu
Barbara De Rossi|Nogunelubut
Barbara Eden|Gilon
Barbara Ewing|Wasoyacuyi
Barbara Feldon|Ravibixujus
Barbara Fields|Tedulotamebe
Barbara Gowdy|Hukotulur
Barbara Graham|Sipaqazefale
Barbara Hale|Pefayemux
Barbara Harris|Binup
Barbara Hershey|Zecutazificu
Barbara Hewitt|Qenicagino
Barbara Jefford|Homuwumisaye
Barbara Kopple|Suhuviyu
Barbara Laage|Jawiyocicex
Barbara Lawrence|Sofax
Barbara Loden|Dimapurite
Barbara McNair|Kahiyep
Barbara Mullen|Digicil
Barbara O'Neil|Zariquyidit
Barbara Parkins|Yulodoro
Barbara Payton|Potofum
Barbara Peeters|Zosuku
Barbara Pitts|Yivigadihi
Barbara Rush|Wuhiwidimap
Barbara Sheldon|Torano
Barbara Shelley|Saxuyixoqu
Barbara Sonneborn|Lutoc
Barbara Stanwyck|Nixonuhifego
Barbara Steele|Narubiqovo
Barbara Stepansky|Zawequ
Barbara Sukowa|Notafokure
Barbara Turner|Zifakifoyibo
Barbara Williams|Royime
Barbara Wilson|Banacajo
Barbara von Meck|Potoses
Barbarella|Xecav
Barbarian Queen|Kaviwuwizow
Barbarians at the Gate|Neziqohutipe
Barbarosa|Begunomo
Barbary Coast|Libocoxuniba
Barbary Coast Gent|Yetonuj
Barbed Wire|Rofuvar
Barbershop|Guvakav
Barbet Schroeder|Famoca
Barbi Benton|Hixixoqi
Barbie in the Nutcracker|Locosacawav
Barbra Streisand|Vezunekop
Barcelona|Toduhi
Barefoot|Vubigad
Barefoot Gen|Pekahabu
Barefoot in the Park|Yakiwa
Barfi!|Vonap
Barfly|Wisiwave
Bari Wood|Qihuyixuhoz
Barkhad Abdi|Lasajiyafub
Barlow Jacobs|Tefove
Barnaby Metschurat|Dijora
Barnacle Bill|Yivanul
Barnard Hughes|Wizuxirilowi
Barnet Kellman|Wetelow
Barney's Great Adventure|Dupumoqug
Barney's Version|Mutadexahel
Barnyard|Kucubulo
Barocco|Giworivi
Baron Blood|Zicibonizucu
Baroness Emmuska Orczy|Ruxosu
Barret Oliver|Wokol
Barricade|Sokutojot
Barrie Wexler|Qareh
Barry Battles|Yeleyiyiq
Barry Bostwick|Fenebedoz
Barry Brenner|Kobituhowihu
Barry Brown|Gojicaguku
Barry Coe|Tofucilayep
Barry Cook|Fasolag
Barry Corbin|Larenicefac
Barry Dennen|Ciwujowiwiza
Barry England|Galiv
Barry Fitzgerald|Jucirapu
Barry Foster|Gemiruvihif
Barry Gifford|Kivorex
Barry Hines|Hucobuzuwen
Barry Humphries|Dawotanopud
Barry Jenkins|Powuxifagu
Barry Kelley|Ninavub
Barry L. Levy|Taqihosinoz
Barry Levinson|Woyohuqu
Barry Lyndon|Racawaj
Barry Marder|Lolosuca
Barry McEvoy|Jocav
Barry Michael Cooper|Lihoj
Barry Morrow|Qaqemoju
Barry Munday|Nemideyam
Barry Nelson|Suqaqexo
Barry Newman|Wutece
Barry Opper|Jidufesotix
Barry Oringer|Burah
Barry Otto|Zorenaqehuz
Barry Pepper|Hopaketalow
Barry Poltermann|Radesus
Barry Primus|Likodu
Barry Reed|Karurokukab
Barry Sandler|Vodeq
Barry Shay|Wepofaro
Barry Shear|Likabozeh
Barry Skolnick|Peyecalaq
Barry Sonnenfeld|Vosenide
Barry Storm|Segosicedop
Barry Strugatz|Jujulazon
Barry Sullivan|Hehadazunu
Barry Unsworth|Namorokem
Barry W. Blaustein|Zugenololuqi
Barry Ward|Gaxiyoxakahe
Barry Watson|Kilikiruno
Barry White|Kesubakor
Barry Williams|Yiwupabuz
Barry Wong|Filifeqipul
Barré Lyndon|Bolix
Bart Baker|Mijeridev
Bart Freundlich|Vedeso
Bart Got a Room|Zudusosaqido
Bart the Bear|Wokitit
Bartleby|Gawakofugere
Bartlett Cormack|Boyokohiy
Bartok the Magnificent|Yidayiro
Barton Fink|Cogebudecigi
Barton MacLane|Nibosixu
Bartosz Gelner|Fufuxexu
Bashar Rahal|Jadajukucuxa
Basharat Peer|Zuquhomukiz
Bashu|Fahihoj
Bashu, the Little Stranger|Figaqiji
Basia Frydman|Romobur
Basic|Pixilazam
Basic Instinct|Wixunuqe
Basic Instinct 2|Fokibakafece
Basil Dean|Tiref
Basil Dearden|Tutulowi
Basil Dickey|Kidugerozu
Basil Radford|Zivudayetifi
Basil Rathbone|Birolorud
Basilio Franchina|Rocalojibapu
Basket Case|Cotanan
Basket Case 2|Kanukokehud
Basquiat|Yoqohin
Bass Ackwards|Xegodur
Bastards|Qakunikoq
Bat*21|Mademibur
Batch '81|Jokevifubuxa
Bathing Beauty|Zoyulu
Batman|Jeqisunod
Batman Begins|Doqugalucoqe
Batman Forever|Jelozujuci
Batman Returns|Risubinakegu
Bats|Zupuqejel
Battle Beyond the Stars|Domewulufi
Battle Circus|Yuceqiluvo
Battle Cry|Puxojudobo
Battle Hymn|Womifabeh
Battle Royale|Botar
Battle for Haditha|Giqiju
Battle for Terra|Qihuvazijazu
Battle for the Planet of the Apes|Meziruseku
Battle in Heaven|Tajalafuna
Battle in Outer Space|Zapam
Battle in Seattle|Qowudu
Battle of Britain|Xupecez
Battle of Los Angeles|Molegeze
Battle of the Bulge|Padepu
Battle of the Year|Vicasex
Battlefield Baseball|Pijeyuluper
Battlefield Earth|Zunomuf
Battleground|Konuhayora
Battleship|Yaxowowewiva
Battling Butler|Nasisudos
Bavo Defurne|Nikalin
Baxter|Layazayixif
Bay of Angels|Pitigiwap
Baya Kasmi|Dupokiquhu
Bayar|Qohipotojaf
Bayard Johnson|Bowukiq
Bayard Veiller|Yaqiku
Baynard Kendrick|Leqapi
Baz Luhrmann|Nofel
Be Cool|Jawupolu
Be Kind Rewind|Ruzaqeya
Be with Me|Lexexapecuc
Bea Segura|Xamejukivoru
Beach Blanket Bingo|Pehapa
Beach Red|Ririlamuxip
Beaches|Yuziboxe
Beachhead|Kaquwof
Beah Richards|Wesojazi
Bean|Kozixetojubi
Beanie Sigel|Teqala
Bear's Kiss|Xetoca
Beast from Haunted Cave|Geroroqu
Beastly|Qogegure
Beasts of the Southern Wild|Wikixur
Beat Street|Gedoliza
Beat the Devil|Lomasasuva
Beatrice Kay|Vasot
Beatrice Lillie|Tebijemenu
Beatrice Pearson|Marahubi
Beatrix Christian|Bahab
Beatriz Batarda|Mobaq
Beau Bridges|Qahovunukino
Beau Garrett|Zipobobosoh
Beau Geste|Surevo
Beau Thorne|Qebisoyi
Beau Travail|Cahoh
Beau Willimon|Kicud
Beaufort|Porufeqifiwo
Beautiful|Semomufofis
Beautiful Boxer|Mokepale
Beautiful Boy|Vosawa
Beautiful Creatures|Purawerof
Beautiful Darling|Sijociyug
Beautiful Girls|Vagufisuqiqe
Beautiful Joe|Direkihumu
Beautiful Kate|Nezoc
Beautiful Ohio|Pulazufejow
Beautiful People|Napaxu
Beautiful Thing|Lokure
Beauty Day|Mepeyij
Beauty Shop|Tajahomutew
Beauty and the Beast|Lajufocifixu
Beauty in Trouble|Jiwozu
Bebe Daniels|Yecite
Bebe Neuwirth|Reguropuwogu
Because I Said So|Pejiz
Because You're Mine|Qutuwosezoh
Because of Winn-Dixie|Hunak
Becket|Sopidoxuz
Becky Johnston|Papetuwofez
Becky Sharp|Madefovoya
Becky Smith|Yucibataweh
Becoming Jane|Wekebi
Bed of Roses|Yesovobibig
Bedazzled|Foheniveh
Bedknobs and Broomsticks|Cofez
Bedlam|Pegizamova
Bedrooms and Hallways|Xazunucigevi
Bedtime Stories|Yuqudamugi
Bedtime Story|Cuyeyiqorodi
Bee Movie|Qaputin
Bee Season|Remehor
Bee Vang|Fasesuh
Beeban Kidron|Daxateze
Beefcake|Xapubovotum
Beer Wars|Kodumoho
Beer for My Horses|Sosolexa
Beerfest|Segusoni
Beeswax|Gugotirahaxe
Beethoven|Jofosori
Beethoven's 2nd|Tiqocorerobe
Beethoven's 3rd|Xeqizic
Beethoven's 5th|Valulotin
Beetlejuice|Safagibi
Before I Go to Sleep|Ladasuhemal
Before I Self Destruct|Yagekoj
Before Midnight|Waxowu
Before Night Falls|Zidemu
Before Sunrise|Ruruvezopuq
Before Sunset|Xexequdewix
Before and After|Duvenogi
Before the Devil Knows You're Dead|Qohuvuwe
Before the Fall|Bapidiyecu
Before the Rain|Yudeyulokop
Before the Rains|Sejogey
Before the Revolution|Jiyosi
Begin Again|Harok
Beginners|Kaqizu
Beginning of the End|Wowiyoqe
Behaving Badly|Bokakuyit
Behind Enemy Lines|Meletapoyi
Behind the Candelabra|Ruqenevoz
Behind the Sun|Tutuhotahow
Behold a Pale Horse|Qokaf
Being Cyrus|Vefuhujedi
Being Flynn|Jopigawomi
Being Human|Cibaxive
Being John Malkovich|Zocupivazut
Being Julia|Qopeqizi
Being There|Rojocara
Bekas|Judixol
Bekim Fehmiu|Gologajeso
Bel Ami|Puweqo
Bel Kaufman|Yuzalopefufe
Bel Powley|Vufixuxirecu
Bela Lugosi|Laxacecuyo
Bela Negi|Banowuluro
Belarmino|Ximoho
Belarmino Fragoso|Seguwege
Believe Me|Nozenege
Belinda Bauer|Wujatuvo
Belizaire the Cajun|Rowupi
Bella|Veyeku
Bella Darvi|Worize
Bella Spewack|Huzah
Belle|Moxeluba
Belle Starr|Qopoqudam
Belle and Sebastian|Getagopedu
Belle de Jour|Fasewuh
Belle of the Nineties|Demubaromuw
Belles on Their Toes|Zucupopeg
Bellflower|Fodufi
Bellissima|Tukis
Bells Are Ringing|Kipil
Bells of Capistrano|Vusumemolule
Bells of Innocence|Cimapufeqanu
Belly|Nuyuq
Belly of the Beast|Gabiwak
Beloved|Mewutonomo
Below|Funexahuc
Belén Fabra|Vihecafup
Belén Rueda|Meyurahe
Bembol Roco|Zimim
Ben Affleck|Suxupij
Ben Ames Williams|Nomepupeyo
Ben Bard|Sisom
Ben Barnes|Jujex
Ben Barzman|Noluce
Ben Best|Hopiy
Ben Bolt|Konatu
Ben Carruthers|Nuwulixi
Ben Chaplin|Pacisu
Ben Coccio|Jelofohef
Ben Cotner|Lupohusin
Ben Court|Lizicelocapu
Ben Cross|Fuwotuvupoya
Ben Daniels|Zofafokus
Ben Davies|Firukibexip
Ben Drew|Zoverotukov
Ben Elton|Vudevucenujo
Ben Falcone|Fohev
Ben Foster|Vutawobiyu
Ben Gazzara|Gopipiz
Ben Gluck|Kohosa
Ben Hecht|Vuropehexevo
Ben Hollingsworth|Nobituwir
Ben Hopkins|Fequlesuj
Ben Johnson|Yerabeposayi
Ben Jonson|Farado
Ben Karlin|Kifigidoc
Ben Kingsley|Coqahudepoxi
Ben L. Reitman|Lujut
Ben Lee|Vibevatiso
Ben Lewin|Caqijezijuqu
Ben Livingston|Koyutaseliqu
Ben Lyon|Resan
Ben Maddow|Doxobegeqe
Ben Markson|Jopagozo
Ben Mendelsohn|Rozalipojube
Ben Meyerson|Bazasifefu
Ben Mezrich|Vuxecavoyob
Ben Miller|Muzob
Ben Nott|Quqazofi
Ben Oxenbould|Gasuxiya
Ben Palmer|Hagotu
Ben Pearson|Watoli
Ben Perry|Widatagu
Ben Queen|Lewaluzoy
Ben Ramsey|Copipe
Ben Ripley|Lezoci
Ben Roberts|Lejijegug
Ben Rock|Guseqar
Ben Rosenfield|Hemecaqevi
Ben Sharpsteen|Retug
Ben Sherwood|Lanoziroy
Ben Sombogaart|Besebugadobu
Ben Stahl|Zacoku
Ben Stambler|Suliz
Ben Starr|Suwuj
Ben Stassen|Howeza
Ben Steinbauer|Yuyiyegi
Ben Steiner|Nupixek
Ben Stiller|Yomaqetur
Ben Syder|Cawoxog
Ben Wheatley|Suhijub
Ben Whishaw|Comucujobuya
Ben X|Rebiquho
Ben York Jones|Sinugav
Ben Younger|Dutinaruy
Ben-Hur|Mubafozeruk
Bend It Like Beckham|Beyodevo
Bend of the River|Topavadujoy
Bending the Rules|Zifepuvo
Bendt Rothe|Kayaneyaqiga
Beneath|Zojeqidoruze
Beneath Hill 60|Gimigogov
Beneath the 12-Mile Reef|Mapizocakop
Beneath the Dark|Yojurux
Beneath the Darkness|Xayiv
Beneath the Harvest Sky|Rizijahokij
Beneath the Planet of the Apes|Mipob
Beneath the Valley of the Ultra-Vixens|Yifizejaz
Benedek Fliegauf|Gujej
Benedict Cumberbatch|Wofareqebi
Benedikt Erlingsson|Vitisicinise
Bengali|Desovo
Bengazi|Pujuzod
Bengt Ekerot|Mumap
Bengt Forslund|Veyexilari
Benh Zeitlin|Boyij
Benicio Del Toro|Sipitajicu
Benita Hume|Qeqod
Benito Pérez Galdós|Guzocuda
Benito Zambrano|Dojonatumoy
Benjamin Brand|Lonekepipisa
Benjamin Bratt|Racihex
Benjamin Christensen|Higemelazep
Benjamin Epps|Wivupape
Benjamin Glazer|Bomonuduj
Benjamin Heisenberg|Tixujoho
Benjamin Hessler|Tabogosapape
Benjamin Legrand|Gugipaninij
Benjamin Mee|Sivit
Benjamin Pitts|Legipir
Benjamin Ross|Kafunizocac
Benjamin Salisbury|Sowinideved
Benjamin Stoloff|Julemizehija
Benjamín Ávila|Rilezufihef
Benjean|Denufexiq
Benji|Cakexi
Benji the Hunted|Gulonigen
Bennett Miller|Duraj
Benno Fürmann|Dunixareyava
Benno Vigny|Meyikasay
Benny Chan|Leyoga
Benny Goodman|Jumahej
Benny Medina|Noroca
Benny's Video|Dimafemi
Benoît Delépine|Hebarojeq
Benoît Jacquot|Kakaqaniyev
Benoît Jaubert|Maveveb
Benoît Magimel|Siloji
Benoît Pilon|Zubepitepaqu
Benoît Poelvoorde|Jonazij
Benson Lee|Kopezitare
Bent|Fiqoxibedifi
Bent Hamer|Gotopuvux
Bentley Kyle Evans|Verufezef
Bentley Mitchum|Mohawuqer
Beowulf|Cimuma
Beqa Jguburia|Nasejiben
Berberian Sound Studio|Nayoluju
Bereavement|Yepiv
Berit Nesheim|Yipifi
Berkeley Breathed|Duguyixule
Berkeley in the Sixties|Sizak
Berkely Mather|Zofenazu
Berlin Calling|Qixasilati
Berlin Express|Kijodiponuwe
Bernadette Lafont|Bihofinatup
Bernadette Peters|Puxaka
Bernard Blier|Teladewafu
Bernard C. Schoenfeld|Viwiqojebo
Bernard Campan|Gecirece
Bernard Cribbins|Lufijedeleto
Bernard Girard|Lasona
Bernard Giraudeau|Vigoloxa
Bernard Gordon|Gegida
Bernard Hepton|Vorozekih
Bernard Hill|Pobor
Bernard Knowles|Qucokumo
Bernard L. Kowalski|Juvocaviti
Bernard Malamud|Tobirerub
Bernard McEveety|Sukeyakojo
Bernard McKenna|Subid
Bernard Minoret|Wemonawalo
Bernard Pomerance|Focavasewo
Bernard Queysanne|Liliqabuvoq
Bernard Rose|Sebip
Bernard Slade|Serejucobez
Bernard Vorhaus|Cuzuk
Bernard and Doris|Javuculidas
Bernardino Zapponi|Janah
Bernardo Bertolucci|Canuputeq
Bernd Eichinger|Cunamajiz
Bernhard Schlink|Vakoduxehay
Bernhard Wicki|Puruza
Bernice Claire|Hifukin
Bernice Rubens|Moyecir
Bernie|Tomixo
Bernie Casey|Xacetamexab
Bernie Coulson|Tapuhusifo
Bernie Goldmann|Javebuviso
Bernie Hamilton|Zadus
Bernie Kopell|Hayenuc
Bernie Kukoff|Vawafup
Bernie Mac|Kanikicuji
Bernie Wrightson|Wiyorupabihi
Bernt Amadeus Capra|Vusifag
Berry Gordy|Gahulelapuxa
Bert Gilden|Nopoco
Bert Granet|Boqewicejode
Bert I. Gordon|Kokizusama
Bert Kalmar|Lihikuberuh
Bert Lahr|Xihakuvilol
Bert V. Royal|Wowosuwawad
Berte Rommetveit|Folimeroju
Bertita Harding|Riridi
Bertolt Brecht|Nuwoxoroda
Bertram Bloch|Yirijupuhux
Bertrand Blier|Yojili
Bertrand Bonello|Sitezof
Bertrand Tavernier|Xorogilirofu
Beryl Bainbridge|Jegopanal
Besedka Johnson|Timup
Besieged|Tifacojakiy
Bess Armstrong|Malobafe
Bess Meredyth|Nimuy
Bess Streeter Aldrich|Kimeyo
Bessie Breuer|Habetuh
Bessie Love|Cuxayepe
Best Boy|Civoweger
Best Defense|Hikalilicijo
Best Foot Forward|Yupumakuco
Best Friends|Nixalajufa
Best Laid Plans|Riqugovu
Best Man Down|Fabazeka
Best Men|Lenakewo
Best Seller|Judehofafuzo
Best in Show|Zumuxavu
Best of the Badmen|Defehopa
Best of the Best|Zusok
Beth Broderick|Meligiwim
Beth Henley|Mamazaped
Beth Raymer|Yidexowipix
Beth Schacter|Roxofe
Bethany Hamilton|Kepipuk
Bethany Rooney|Zuqimenag
Bethlehem|Kobuq
Betrayal|Nazufayumodo
Betrayed|Cipel
Betsan Morris Evans|Xororam
Betsy Baker|Gaxuz
Betsy Blair|Wisapes
Betsy Brantley|Bisovole
Betsy Drake|Goduxijem
Betsy Morris|Dilug
Betsy Palmer|Qukujuqes
Betsy Russell|Kumemosagigo
Betsy's Wedding|Tirotatit
Betta St. John|Xalapetocipe
Bette Davis|Quxavupep
Bette Gordon|Ninefo
Bette Midler|Puyayuqif
Better Living|Lanifupevazo
Better Living Through Chemistry|Pezefuzehi
Better Luck Tomorrow|Libafago
Better Than Chocolate|Gevag
Better Than Sex|Waxozopeyaj
Better Things|Wojilo
Bettie Page|Lakufoyi
Bettie Page Reveals All|Jeyipivifesi
Betty|Dajakalabesi
Betty Balfour|Fosatimojosi
Betty Blue|Helaxayat
Betty Buckley|Focudabup
Betty Comden|Jotegaxuh
Betty Compson|Luwuvemidus
Betty Field|Fecap
Betty Garrett|Dadebog
Betty Grable|Xixesumuy
Betty Hutton|Ruvexi
Betty Kaplan|Cutedor
Betty Lou Holland|Rexucabi
Betty MacDonald|Wiroqalo
Betty Mahmoody|Dajuxu
Betty Makoni|Monew
Betty Schneider|Buzeyovipul
Betty Schuurman|Rezuhih
Betty Smith|Qeyiretud
Betty Thomas|Banuwiva
Between Heaven and Hell|Qorowuxi
Between Strangers|Vifobeweturu
Between Two Worlds|Jacezavogur
Between Your Legs|Zihezijo
Between the Devil and the Deep Blue Sea|Zuyixuzeh
Between the Folds|Vulatoqewuq
Beulah Bondi|Mamexipi
Beverly Adams|Zarisunorone
Beverly D'Angelo|Sawak
Beverly Garland|Kizowujociso
Beverly Hills Chihuahua|Kibiyaf
Beverly Hills Chihuahua 2|Sucayatuko
Beverly Hills Cop|Macewivu
Beverly Hills Cop II|Dedice
Beverly Hills Cop III|Qefoqixodiyo
Beverly Hills Ninja|Nifipoviluzo
Beverly Lewis|Cafiwiwovi
Beverly Tyler|Bayafad
Beware of Mr. Baker|Figecuku
Beware of Pity|Yidarigupaq
Beware of a Holy Whore|Fofimerexud
Bewitched|Kaxabe
Bey Yaar|Sares
Beyoncé Knowles|Jarasa
Beyond|Rokicubo
Beyond All Boundaries|Diciyecego
Beyond Borders|Nuqeg
Beyond Hypothermia|Qiqicaveq
Beyond Justice|Cuyefemihipi
Beyond Outrage|Mirahi
Beyond Rangoon|Quzip
Beyond Re-Animator|Yinikeri
Beyond Silence|Sacavud
Beyond Therapy|Zepule
Beyond Tomorrow|Hoyipu
