Original|Swapped_To|Type
Anders W. Berthelsen|Piero Schivazappa|person_name
Andersen Gabrych|Dorothy B. Hughes|person_name
Andie MacDowell|Kali Rocha|person_name
Andra Martin|Cheryl Dunye|person_name
Andre|Walter Defends Sarajevo|title
Andre Braugher|Eric Hodgins|person_name
Andre Dubus|Whip Hubley|person_name
Andre Dubus III|David Carter|person_name
Andre Fabrizio|Ann Beattie|person_name
Andre Gregory|Basil Dean|person_name
Andrea Arnold|François Damiens|person_name
Andrea Blaugrund Nevins|Peter Bryan|person_name
Andrea Bowen|Bohdan Czeszko|person_name
Andrea Burchill|Steve Lawrence|person_name
Andrea Corr|Gloria Hendry|person_name
Andrea Feldman|Edward Dmytryk|person_name
Andrea Gibb|Herman Raucher|person_name
Andrea Gyertson Nasfell|Bill Irwin|person_name
Andrea Marcovicci|Michael Pattinson|person_name
Andrea Molaioli|James Belushi|person_name
Andrea Portes|Robert Stadlober|person_name
Andrea Riseborough|Todd McCarthy|person_name
Andrea Roth|Winston Rauch|person_name
Andrea Segre|Michael Shanks|person_name
Andrea Seigel|Maria Cina|person_name
Andrea Vergara|Cynthia Rothrock|person_name
Andreas Dresen|Greg Glienna|person_name
Andreas Wilson|David Dortort|person_name
Andreas Öhman|Robert Klane|person_name
Andrei Kashkar|Emily Baldoni|person_name
Andrei Romanov|Antony Cordier|person_name
Andrei Rublev|Things You Can Tell Just by Looking at Her|title
Andrei Tarkovsky|Renée Zellweger|person_name
Andrej Lunusjkin|David Ross|person_name
Andreu Buenafuente|Mike Reiss|person_name
Andrew Adamson|Pradhuman Singh|person_name
Andrew Anastasios|Langdon Mitchell|person_name
Andrew Bennison|Gerard Damiano|person_name
Andrew Bergman|William A. Wellman|person_name
Andrew Birkin|Mark Dexter|person_name
Andrew Bovell|Kenji Sahara|person_name
Andrew Bowler|Dino Morea|person_name
Andrew Buckley|Jason Segel|person_name
Andrew Bujalski|Simon Shore|person_name
Andrew Caldwell|Len Wiseman|person_name
Andrew Cook|Flora Fauna|person_name
Andrew Currie|Dev Gill|person_name
Andrew Davies|Estelle Taylor|person_name
Andrew Davis|Todd Wilderman|person_name
Andrew Deutschman|Sara Gilbert|person_name
Andrew Dice Clay|James Bridges|person_name
Andrew Divoff|Robert Thomas|person_name
Andrew Dodge|Hadas Yaron|person_name
Andrew Dominik|Ellar Coltrane|person_name
Andrew Douglas|Clark L. Paylow|person_name
Andrew Drazek|Robert Markowitz|person_name
Andrew Duggan|Lesli Linka Glatter|person_name
Andrew Erwin|Andrés Baiz|person_name
Andrew Fleming|Tommy Lee Jones|person_name
Andrew Gallerani|Mary Sweeney|person_name
Andrew Garfield|David Baddiel|person_name
Andrew Geer|Justine Waddell|person_name
Andrew Gellis|Guy Ferland|person_name
Andrew Goth|David Gow|person_name
Andrew Gurland|Reese Witherspoon|person_name
Andrew Haigh|Pascal Bruckner|person_name
Andrew Hodges|Jannik Johansen|person_name
Andrew Horn|Barbara Lawrence|person_name
Andrew Howard|Vinessa Shaw|person_name
Andrew J. Fenady|Philip Chidel|person_name
Andrew Jacobson|Andy Byatt|person_name
Andrew James Allen|Ken Berry|person_name
Andrew Jarecki|Maria Blom|person_name
Andrew Keegan|Philippe Aractingi|person_name
Andrew Keir|Mark Whiting|person_name
Andrew Kevin Walker|Randolph Scott|person_name
Andrew Klavan|Edward Peple|person_name
Andrew Knight|Jennifer Flackett|person_name
Andrew Kurtzman|David Raynr|person_name
Andrew L. Stone|Franco Califano|person_name
Andrew Lancaster|Jonathan van Tulleken|person_name
Andrew Leman|Percy Bysshe Shelley|person_name
Andrew Levitas|Eileen Chang|person_name
Andrew Lloyd Webber|Stark Raven|person_name
Andrew Loo|Daniel Carney|person_name
Andrew Marton|Alicia Erian|person_name
Andrew Matthews|Johan Grimonprez|person_name
Andrew McCarthy|Leo Genn|person_name
Andrew McKenzie|John Bingham|person_name
Andrew Miller|William Ludwig|person_name
Andrew Mogel|Peter Horton|person_name
Andrew Mollo|Gavin Millar|person_name
Andrew Motion|Adam Cooper|person_name
Andrew Neel|Myles Berkowitz|person_name
Andrew Neiderman|Marcus Adams|person_name
Andrew Niccol|Daniel Taradash|person_name
Andrew O'Connor|Barbara Parkins|person_name
Andrew Okpeaha MacLean|Jim Jarmusch|person_name
Andrew Panay|Conrad Janis|person_name
Andrew Piddington|Freddie Francis|person_name
Andrew Ray|David Loucka|person_name
Andrew Robertson|Ryan Rowe|person_name
Andrew Robinson|Musetta Vander|person_name
Andrew Ross Sorkin|Roxanne Hart|person_name
Andrew Rossi|Nobuyuki Katsube|person_name
Andrew Scott|Eva Gabor|person_name
Andrew Sensenig|George Jonas|person_name
Andrew Shaifer|Frank Hvam|person_name
Andrew Shue|David Haig|person_name
Andrew Sipes|Ian Cheney|person_name
Andrew Smith|Nonso Anozie|person_name
Andrew Solt|Eric Lange|person_name
Andrew Stanton|Deepa Mehta|person_name
Andrew Stevens|Rudy Ray Moore|person_name
Andrew Theopolis|Andy Dick|person_name
Andrew Tiernan|Bill Rebane|person_name
Andrew Traucki|Barry Michael Cooper|person_name
Andrew V. McLaglen|Fausto Cabrera|person_name
Andrew W. Marlowe|Christian Oliver|person_name
Andrew Wagner|Gabriel Axel|person_name
Andrew Wellman|Ricky Gervais|person_name
Andrew Wight|Greg Latter|person_name
Andrew Wilson|Eliot Ness|person_name
Andrey Zvyagintsev|Greg Germann|person_name
Androcles and the Lion|Dona Flor and Her Two Husbands|title
Android|The Crimson Kimono|title
Andrucha Waddington|Joseph Pevney|person_name
Andrzej Bartkowiak|Helena Christensen|person_name
Andrzej Grabowski|Mark Rappaport|person_name
Andrzej Jakimowski|Bruce McDonald|person_name
Andrzej Wajda|Jason Sudeikis|person_name
André Barde|Sonny Grosso|person_name
André Batista|Franklin J. Schaffner|person_name
André Benjamin|Tom Shadyac|person_name
André Bonzel|John Berger|person_name
André Cayatte|Leopold von Ledebur|person_name
André De Toth|Andrew Wagner|person_name
André Devigny|Raimond Gaita|person_name
André Dussollier|Hardy Krüger|person_name
André Hennicke|Mandy Patinkin|person_name
André Morell|Rachel Klein|person_name
André Picard|Susan Hill|person_name
André Turpin|Juhani Niemelä|person_name
André Téchiné|Franco Interlenghi|person_name
André Wilms|Yoshikazu Kotani|person_name
André de Lorde|Catherine Chevallier|person_name
André Øvredal|Christian Chapiron|person_name
Andrés Baiz|Douglas Camfield|person_name
Andrés Herrera|Roger Goldby|person_name
Andrés Muschietti|Warren Buffett|person_name
Andrés Pazos|Matthew Dyktynski|person_name
Andrés Wood|Phoebe Strole|person_name
Andy Behrens|Murray Forbes|person_name
Andy Bellin|Michèle Garcia|person_name
Andy Bienen|Åke Lindman|person_name
Andy Breckman|Ruth Díaz|person_name
Andy Byatt|Joe Don Baker|person_name
Andy Cadiff|Michael Lessac|person_name
Andy Cheng|Kentucker Audley|person_name
Andy Cochran|R.W. Goodwin|person_name
Andy Devine|Dalene Young|person_name
Andy Dick|Jacob Gentry|person_name
Andy Diggle|Colin Farrell|person_name
Andy Fickman|James Madio|person_name
Andy Garcia|Montgomery Clift|person_name
Andy Griffith|Geoffrey Fletcher|person_name
Andy Hardy Meets Debutante|The Sea Inside|title
Andy Hardy's Blonde Trouble|Dallas|title
Andy Hedden|Gregory La Cava|person_name
Andy Hurst|Dylan Sprouse|person_name
Andy Kaufman|Zaide Silvia Gutiérrez|person_name
Andy Kubert|Josh Gilbert|person_name
Andy Lau|Cinco Paul|person_name
Andy Mulligan|David Weisman|person_name
Andy On|John Beasley|person_name
Andy Paris|Robert Kane Pappas|person_name
Andy Robin|Manish Acharya|person_name
Andy Rodoreda|Seu Jorge|person_name
Andy Ruben|Meg Rosoff|person_name
Andy Samberg|Bob Dylan|person_name
Andy Serkis|Helen Jerome|person_name
Andy Tennant|Gordon Currie|person_name
Andy Warhol|Eric Bress|person_name
Andy Weiss|Assaf Bernstein|person_name
Andy Whitfield|Richard Egan|person_name
Andy Wilson|Yosuke Fujita|person_name
Andy Wolk|Morten Lindberg|person_name
Andy Zeffer|Keri Lynn Pratt|person_name
Ane Dahl Torp|Cindy Sherman|person_name
Anees Bazmee|Thor Heyerdahl|person_name
Aneta Corsaut|Adam Small|person_name
Aneurin Barnard|Mars Callahan|person_name
Ang Lee|Greg Marcks|person_name
Angel|The Unholy Three|title
Angel Baby|The Evil of Frankenstein|title
Angel Dog|A Gathering of Eagles|title
Angel Eyes|Spirit Trap|title
Angel Face|Effi Briest|title
Angel Gracia|Alfredo De Villa|person_name
Angel Heart|Tempest|title
Angel and the Badman|A Fistful of Fingers|title
Angel in My Pocket|Stage Fright|title
Angel on My Shoulder|I Don't Know How She Does It|title
Angel's Egg|Santa Sangre|title
Angel-A|Kahaani|title
Angela|Museum Hours|title
Angela Bassett|Janet Landgard|person_name
Angela Bettis|Chris Sivertson|person_name
Angela Carter|Anthony Leonardi III|person_name
Angela Huth|Felix E. Feist|person_name
Angela Ismailos|Samuel A. Taylor|person_name
Angela Jones|Siddiq Barmak|person_name
Angela Lansbury|David Moreau|person_name
Angela Lindvall|Bonnie Hill|person_name
Angela Pope|Jamey Sheridan|person_name
Angela Robinson|Marques Houston|person_name
Angela Shelton|Neville Brand|person_name
Angela Winkler|Tiffany Bolling|person_name
Angela's Ashes|Syndromes and a Century|title
Angeli Bayani|James Gunn|person_name
Angelica Lee|Hiroshi Shimizu|person_name
Angelina Jolie|Bernie Wrightson|person_name
Angelo Pizzo|Denis O'Hare|person_name
Angels Crest|Yesterday Girl|title
Angels Fall|Gentlemen of Fortune|title
Angels Over Broadway|multiple storylines|title
Angels Sing|The Legend of Boggy Creek|title
Angels in the Outfield|Harriet the Spy|title
Angels of the Universe|The Last Castle|title
Angels with Dirty Faces|Blackhat|title
Anger Management|The Mole People|title
Angie|Partners|title
Angie Dickinson|Andrea Roth|person_name
Angie Everhart|Frank M. Robinson|person_name
Angie Harmon|Jamie Curtis|person_name
Angie Louise|James Sallis|person_name
Angst|The Computer Wore Tennis Shoes|title
Anguish|Doctor Dolittle|title
Angus|The Unknown Woman|title
Angus MacInnes|Stanley Kramer|person_name
Angus MacLane|Terri Treas|person_name
Angus MacPhail|Pascale Froment|person_name
Angus Macfadyen|Steve Sekely|person_name
Angus Scrimm|Ainsworth Morgan|person_name
Angus, Thongs and Perfect Snogging|Dry Summer|title
Ania Pieroni|Darryl Ponicsan|person_name
Anie Pascale|Amanda Wyss|person_name
Aniello Arena|Tom Kingsley|person_name
Anika Decker|Sean Tataryn|person_name
Anika Noni Rose|Shemp Howard|person_name
Anil Kapoor|Jeff Filgo|person_name
Animal|Captives|title
Animal Factory|Saint Jack|title
Animal Farm|A Christmas Story 2|title
Animal House|To the Wonder|title
Animal Kingdom|The Theory of Everything|title
Animal Room|Bloodbath at the House of Death|title
Animals United|Heart Like a Wheel|title
Animation|superhero|genre
Anita Barone|R.R. Morgan|person_name
Anita Björk|Simone Griffeth|person_name
Anita Briem|Henrik Ibsen|person_name
Anita Desai|John Goodman|person_name
Anita Doron|Maximilian Erlenwein|person_name
Anita Ekberg|William Lundigan|person_name
Anita Loos|Robin Riker|person_name
Anita Mui|Goldie Behl|person_name
Anita Page|Kaui Hart Hemmings|person_name
Anita Pallenberg|George Dunning|person_name
Anita Shreve|Zack Ward|person_name
Anita Strindberg|Ricardo Chavira|person_name
Anita Yuen|Martin McDonagh|person_name
Anitra Ford|Rex Thompson|person_name
Anjanette Comer|Alex Karzis|person_name
Anjelica Huston|Martin Gabel|person_name
Anjum Rajabali|Keiji Nakazawa|person_name
Anka Graczyk|James Caan|person_name
Ankur|Paperman|title
Ankur Khanna|Gillian Anderson|person_name
Ann Ayars|Zach Braff|person_name
Ann Beattie|Kevin Brownlow|person_name
Ann Bell|Harry Chandlee|person_name
Ann Biderman|Damien Dante Wayans|person_name
Ann Blyth|William Hope Hodgson|person_name
Ann Brashares|James Goldstone|person_name
Ann Carver's Profession|Dutchman|title
Ann Dowd|Robert Mandel|person_name
Ann Druyan|Shareeka Epps|person_name
Ann Dvorak|Terence Fisher|person_name
Ann Guedes|Vanessa Ferlito|person_name
Ann Hagemann|Will Sharpe|person_name
Ann Harding|Paula Gosling|person_name
Ann Howard Creel|Yancey Arias|person_name
Ann Hu|Jean Rochefort|person_name
Ann Hui|Joseph Fiennes|person_name
Ann Kindberg|Jon Erwin|person_name
Ann Lembeck|Alex Metcalf|person_name
Ann Louise Bardach|Scott Speer|person_name
Ann Magnuson|Gail Edwards|person_name
Ann Marie|Andrei Romanov|person_name
Ann Miller|Wilson Barrett|person_name
Ann Peacock|Donald Bakeer|person_name
Ann Reinking|Jon Land|person_name
Ann Richards|Wallace Terry|person_name
Ann Robinson|Laetitia Colombani|person_name
Ann Rutherford|Brad Silberling|person_name
Ann Savage|Jarmo Lampela|person_name
Ann Sheridan|Daniel St. Pierre|person_name
Ann Sothern|Sidney Lumet|person_name
Ann Todd|Melinda Dillon|person_name
Ann Turkel|Agnes Moorehead|person_name
Ann Turner|Neil Gordon|person_name
Ann Wedgeworth|Vivian Pickles|person_name
Anna|Revenge|title
Anna Biller|Bob Ellis|person_name
Anna Bjelkerud|Howie Mandel|person_name
Anna Boden|Michael McKiddy|person_name
Anna Bonacci|Doris Pilkington|person_name
Anna Chancellor|Lauren Tom|person_name
Anna Chappell|Leila Conners|person_name
Anna Chlumsky|Marc Price|person_name
Anna Christie|Testament of Orpheus|title
Anna Cropper|Scott Curtis|person_name
Anna Drijver|Jasen Fisher|person_name
Anna Falchi|Darrell Rooney|person_name
Anna Faris|Sonja Smits|person_name
Anna Friel|John Esposito|person_name
Anna Galiena|Rachel Boston|person_name
Anna Gavalda|John Patrick Kelley|person_name
Anna Geislerová|Shelley Winters|person_name
Anna Gourari|Eminem|person_name
Anna Hamilton Phelan|Chris Brinker|person_name
Anna Hutchison|Brigitte Lin|person_name
Anna Karenina|My Wife's Relations|title
Anna Karina|Ruggero Deodato|person_name
Anna Kendrick|Rick Fry|person_name
Anna Lee|Alan Jacobs|person_name
Anna Leonowens|John R. Stevenson|person_name
Anna Lucasta|Space Cowboys|title
Anna Magnani|DuBose Heyward|person_name
Anna Margaret Hollyman|Wendy Orr|person_name
Anna Maria Monticelli|Jamie Foxx|person_name
Anna Massey|Michael Bowen|person_name
Anna Maxwell Martin|Gordon McLendon|person_name
Anna May Wong|Tim Fehlbaum|person_name
Anna Melikyan|Charles Bukowski|person_name
Anna Muylaert|John Lurie|person_name
Anna Nakagawa|Jacques Maillot|person_name
Anna Odell|Arthur Richman|person_name
Anna Palk|Herbert Marshall|person_name
Anna Paquin|Nic Campos|person_name
Anna Quayle|Fabián Bielinsky|person_name
Anna Quindlen|María Alche|person_name
Anna Reeves|Mark Reisman|person_name
Anna Seghers|Allan Aaron Katz|person_name
Anna Sewell|The Ritz Brothers|person_name
Anna Sten|Barlow Jacobs|person_name
Anna Thomas|Joan Lindsay|person_name
Anna Tsuchiya|Roberta Collins|person_name
Anna and the King|The Dead Pool|title
Anna and the King of Siam|Let's Go to Prison|title
AnnaLynne McCord|Stu Pollard|person_name
AnnaSophia Robb|Jeb Stuart Adams|person_name
Annabel Jankel|Jennifer Arnold|person_name
Annabel Park|James Lee Barrett|person_name
Annabel Schofield|Brown Eyes|person_name
Annabel Takes a Tour|The Pallbearer|title
Annabella|Danny DeVito|person_name
Annabella Piugattuk|Zak Hilditch|person_name
Annabella Sciorra|Peter Krause|person_name
Annabelle|Wyatt Earp|title
Annabelle Gurwitch|Luke Davies|person_name
Annabelle Wallis|Bill Corbett|person_name
Annabeth Gish|John Wells|person_name
Annalise Basso|Alexander Paal|person_name
Annapolis|Anzio|title
Anne Alvaro|Pertti Koivula|person_name
Anne Amanda Opotowsky|Tsugumi Ohba|person_name
Anne Archer|Jeannie Carson|person_name
Anne Bancroft|Harold Goodwin|person_name
Anne Baxter|Franco Merli|person_name
Anne Bobby|George Cukor|person_name
Anne Brochet|Vincent Pereira|person_name
Anne Caldwell|Andrés Muschietti|person_name
Anne Consigny|George Kelly|person_name
Anne Cornwall|Timothy Spall|person_name
Anne Crawford|Greg Grunberg|person_name
Anne Fine|Keir Dullea|person_name
Anne Fletcher|Patrick Lussier|person_name
Anne Fontaine|Sammy Davis Jr.|person_name
Anne Francis|Tod Williams|person_name
Anne Frank|Katie Aselton|person_name
Anne Frank Remembered|Two Much|title
Anne Gauthier|Virginia Woolf|person_name
Anne Gwynne|Marius Holst|person_name
Anne Hathaway|David O'Hara|person_name
Anne Heche|Lalita Panyopas|person_name
Anne Heywood|J. Meade Falkner|person_name
Anne Holden|Tomas Milian|person_name
Anne Holm|Frances Starr|person_name
Anne James|Jim Gaffigan|person_name
Anne Meara|Nat Bennett|person_name
Anne Michaels|Joseph Olshan|person_name
Anne Nelson|Oscar Polk|person_name
Anne Parillaud|Christopher Masterson|person_name
Anne Parrish|Eric Hendershot|person_name
Anne Ramsey|Thomas Rendon|person_name
Anne Renton|Louis S. Peterson|person_name
Anne Revere|Maurice Vernon|person_name
Anne Rice|Katharine Ross|person_name
Anne Sewitsky|Karen Elise Baldwin|person_name
Anne Shirley|George Mendeluk|person_name
Anne Spielberg|Joan Fontaine|person_name
Anne Sundberg|Eric Meza|person_name
Anne Suzuki|Carlo Carlei|person_name
Anne Tenney|Gerald Kersh|person_name
Anne Teyssèdre|Robert Strauss|person_name
Anne Tyler|Michael Schultz|person_name
Anne Wheeler|Sonja Henie|person_name
Anne Wiazemsky|Mel Gibson|person_name
Anne of Green Gables|The Greatest Story Ever Told|title
Anne of the Thousand Days|The Journey|title
Annemarie Selinko|Lisa Eilbacher|person_name
Annette Bening|Miko Hughes|person_name
Annette Funicello|Robert Evans|person_name
Annette Hanshaw|Lewis R. Foster|person_name
Annette O'Toole|Jerome Lawrence|person_name
Annie|Rigor Mortis|title
Annie Clark|Justin Dix|person_name
Annie DeYoung|Leena Lander|person_name
Annie Get Your Gun|The Face of Another|title
Annie Girardot|Blake Nelson|person_name
Annie Golden|Renate Krößner|person_name
Annie Hall|Borgman|title
Annie McEnroe|Corey Johnson|person_name
Annie Mumolo|Ana Belén|person_name
Annie Oakley|Between Your Legs|title
Annie Potts|Marcell Jankovics|person_name
Annie Proulx|Israel Zangwill|person_name
Annie Shizuka Inoh|Samira Makhmalbaf|person_name
Annika Hallin|Ron Carey|person_name
Annina Enckell|Rebecca Miller|person_name
Annu Kapoor|Michael Grais|person_name
Anny Duperey|Jonathan Daniel Brown|person_name
Anny Ondra|Veronica Carlson|person_name
Anonymous|Saw IV|title
Another 48 Hrs.|Roustabout|title
Another Chance|After the Fox|title
Another Cinderella Story|Halloweentown High|title
Another Country|Princess|title
Another Day in Paradise|Guilty as Sin|title
Another Earth|Humboldt County|title
Another Gay Movie|The Deaths of Ian Stone|title
Another Happy Day|Frozen River|title
Another Harvest Moon|Postal|title
Another Man's Poison|Sweepers|title
Another Stakeout|The Chumscrubber|title
Another Thin Man|Night of the Comet|title
Another Woman|Message in a Bottle|title
Another Year|Hope Floats|title
Another You|Trio|title
Anouk Aimée|Amy Sorlie|person_name
Anouk Grinberg|Jeremy Northam|person_name
Ansel Elgort|Tim Baker|person_name
Ansiba|Josh Meyers|person_name
Anson Mount|Dick Rickard|person_name
Answer This!|Shoot the Moon|title
Answers to Nothing|Kansas City Confidential|title
Ant Timpson|Walter Doniger|person_name
Antarctica|The Order|title
Antares|I Hate Valentine's Day|title
Anthony Abrams|Garson Kanin|person_name
Anthony Adverse|Looking for Comedy in the Muslim World|title
Anthony Anderson|Arthur Kopit|person_name
Anthony Andrews|Clive Gordon|person_name
Anthony Armstrong|Allison Hayes|person_name
Anthony Asquith|Cecilia Miniucchi|person_name
Anthony B. Richmond|Clay Westervelt|person_name
Anthony Barrile|Edwin Blum|person_name
Anthony Baxter|Franz Schulz|person_name
Anthony Bell|Alec Berg|person_name
Anthony Burgess|Devin Brochu|person_name
Anthony Bushell|Jon Bernthal|person_name
Anthony Chan|Hitoshi Takagi|person_name
Anthony Chen|Joey Curtis|person_name
Anthony Daniels|Patricia Charbonneau|person_name
Anthony DeSando|Buster Crabbe|person_name
Anthony DiBlasi|David Bowers|person_name
Anthony Drazan|Pierre Grasset|person_name
Anthony Edwards|Michael Wallach|person_name
Anthony Eisley|Paulette Houdyer|person_name
Anthony Fabian|Lale Andersen|person_name
Anthony Franciosa|Warren Ellis|person_name
Anthony Gilbert|Stephen Mazur|person_name
Anthony Harvey|Ronald F. Maxwell|person_name
Anthony Heald|Robert DiPatri|person_name
Anthony Hemingway|Anders Morgenthaler|person_name
Anthony Hickox|James Remar|person_name
Anthony Higgins|Georgia Groome|person_name
Anthony Hinds|Ian Hubert|person_name
Anthony Hope|Coky Giedroyc|person_name
Anthony Hopkins|Emmanuel Benbihy|person_name
Anthony Howarth|Adrian Moat|person_name
Anthony Johnson|Dean Lent|person_name
Anthony Kimmins|Noel Langley|person_name
Anthony LaPaglia|Jim Clark|person_name
Anthony Lawrence|Harry Hamlin|person_name
Anthony Leonardi III|Lawrence Krauss|person_name
Anthony Mackie|Danny Midwinter|person_name
Anthony Mandler|Olivia Bonamy|person_name
Anthony Mann|Paul Van Carter|person_name
Anthony Michael Hall|Marina Foïs|person_name
Anthony Minghella|Niki Karimi|person_name
Anthony Newley|Will Graham|person_name
Anthony Page|Denis Lawson|person_name
Anthony Paul Kelly|Jessica Haines|person_name
Anthony Peckham|Anthony Edwards|person_name
Anthony Perkins|Gene Wilder|person_name
Anthony Quayle|Rachel Griffiths|person_name
Anthony Quinn|Max Kasch|person_name
Anthony Rapp|Konstantin Simonov|person_name
Anthony Ray|Charles Ogle|person_name
Anthony Russo|Babe Ruth|person_name
Anthony Shaffer|Mark Haddon|person_name
Anthony Silverston|Erik Hemmendorff|person_name
Anthony Sneed|Frank Davis|person_name
Anthony Stacchi|Angeli Bayani|person_name
Anthony Starke|Dan O'Bannon|person_name
Anthony Steffen|Alfred Hitchcock|person_name
Anthony Story|Ruth Rose|person_name
Anthony Swofford|Gary Cole|person_name
Anthony Tyler Quinn|Greg Wood|person_name
Anthony Veiller|Stephen Peters|person_name
Anthony Waller|Patty Jenkins|person_name
Anthony Warren|Renzo Avanzo|person_name
Anthony Watson|Thomas Calabro|person_name
Anthony Yerkovich|Alison Steadman|person_name
Anthony Zimmer|White Christmas|title
Antibodies|I, the Jury|title
Antichrist|What Goes Up|title
Antitrust|Ricky|title
Antiviral|Deathwatch|title
Antje de Boeck|Reinhold Messner|person_name
Antjie Krog|David Huffman|person_name
Antoine Bertrand|Ross McElwee|person_name
Antoine Blondin|Ana Lily Amirpour|person_name
Antoine Delesvaux|Lou Ferrigno|person_name
Antoine Fuqua|Josh Cooke|person_name
Anton Chekhov|Jacques Feyder|person_name
Anton Chekhov's The Duel|Bang Bang You're Dead|title
Anton Corbijn|Charles Hawtrey|person_name
Anton Diffring|Judith Lucy|person_name
Anton Glanzelius|Burt Reynolds|person_name
Anton King|Stelvio Massi|person_name
Anton Newcombe|Jennifer Abbott|person_name
Anton Walbrook|Vanessa Bell Calloway|person_name
Anton Yelchin|Peter Godfrey|person_name
Antonella Attili|Karsten Kiilerich|person_name
Antonia Bird|Clarence Greene|person_name
Antonia's Line|Two in the Wave|title
Antonio Albanese|Matty Rich|person_name
Antonio Banderas|Richard Crudo|person_name
Antonio Campos|Adrian Rawlins|person_name
Antonio Cupo|Domenico Paolella|person_name
Antonio Dechent|Katrin Benedikt|person_name
Antonio Fargas|Zach Galligan|person_name
Antonio Macia|Clara Bingham|person_name
Antonio Margheriti|Rodney Carrington|person_name
Antonio Moreno|Louis Weitzenkorn|person_name
Antonio Negret|Lasse Spang Olsen|person_name
Antonio Pennacchi|Harry Belafonte|person_name
Antonio Resines|Adam Minarovich|person_name
Antonio Sabato Jr.|Merav Doster|person_name
Antonio Serrano|H.B. Halicki|person_name
Antonio Skármeta|Jun Falkenstein|person_name
Antonio Tarver|Jerry Wald|person_name
Antonio Tentori|Emile Hirsch|person_name
Antonio Tibaldi|Vivaan Shah|person_name
Antonio Trashorras|Larry Beinhart|person_name
Antonio das Mortes|Wind Chill|title
Antony Carbone|James V. Kern|person_name
Antony Cordier|Lucrecia Martel|person_name
Antony Hoffman|Ettore Scola|person_name
Antti Jokinen|Jesse Lee Soffer|person_name
Antti Litja|Mikko Nousiainen|person_name
Antti Tuuri|Ismail Merchant|person_name
Antwone Fisher|R.I.P.D.|title
Antz|Bug|title
Antônio Fagundes|Dennis Fanning|person_name
Anubhav Sinha|Kamir Aïnouz|person_name
Anupam Kher|Hajrudin Krvavac|person_name
Anurag Basu|Carlo Verdone|person_name
Anurag Kashyap|Joseph Kahn|person_name
Anushka Sharma|Bonnie Gruesen|person_name
Any Day Now|October Sky|title
Any Given Sunday|The Cool School|title
Any Number Can Play|And Now for Something Completely Different|title
Any Number Can Win|It's a Mad, Mad, Mad, Mad World|title
Any Questions for Ben?|Cherry Crush|title
Any Wednesday|Cosmopolis|title
Any Which Way You Can|Ocean Waves|title
Anya Kochoff|Henry Fielding|person_name
Anya Seton|Stephen Marshall|person_name
Anything Else|Macabre|title
Anything Goes|The Manhattan Project|title
Anything for Her|Chouchou|title
Anzio|Calling Dr. Gillespie|title
Aoi Hiiragi|Peter Handke|person_name
Aoi Miyazaki|Kay Pollak|person_name
Apache|Crazy Safari|title
Apache Territory|Fear and Desire|title
Aparajito|Betty Blue|title
Apart from You|Satan Met a Lady|title
Apartment 1303|Revolutionary Girl Utena|title
Apartment 1303 3D|The Electric Horseman|title
Apartment 143|Black Bread|title
Apartment Zero|Letters from Iwo Jima|title
Aphex Twin|Myrna Fahey|person_name
Apichatpong Weerasethakul|Alex Rebar|person_name
Apocalypse Now|Across the Sea of Time|title
Apocalypto|Beasts of the Southern Wild|title
Apollo 13|No Reservations|title
Apollo 18|The Banishment|title
Apollonia Kotero|Max Ophüls|person_name
Apostle Peter and the Last Supper|The Fuller Brush Man|title
Appaloosa|Bad Day on the Block|title
Applause|Torrid Zone|title
Apple Jack|House of Games|title
Appleseed|The Breaking Point|title
Appointment with Danger|The Joyriders|title
Appointment with Death|The Grudge 3|title
April Captains|Jet Lag|title
April Fool's Day|Safe Sex|title
April Love|Nacho Libre|title
April Pearson|Sean McGinly|person_name
April Showers|Huckleberry Finn|title
April Stevens|Daniel Hendler|person_name
April Story|He Loves Me... He Loves Me Not|title
April in Paris|Together Again|title
April's Shower|Strayed|title
Apt Pupil|Angels of the Universe|title
Aqib Khan|Lawrence Bassoff|person_name
Aqua Teen Hunger Force Colon Movie Film for Theaters|L'Avventura|title
Aquamarine|Special|title
Arabesque|Katalin Varga|title
Arabian Nights|Road, Movie|title
Arabic|Russian|language
Arachnophobia|No Looking Back|title
Aram Avakian|Clive Brook|person_name
Ararat|Mary Reilly|title
Araya|River of No Return|title
Arbaaz Khan|Gene Roddenberry|person_name
Arbitrage|Rage at Dawn|title
Arcade|California Solo|title
Arch Hall Jr.|Regina King|person_name
Arch Nicholson|Kate Reid|person_name
Arch Oboler|Léa Pool|person_name
Arch of Triumph|Rush Hour|title
Archangel|Charlie Chan's Courage|title
Archie Kao|Norm MacDonald|person_name
Archie Mayo|Amidou|person_name
Archie Moore|Frank Hohimer|person_name
Archie Panjabi|Reika Hashimoto|person_name
Arctic Tale|Loving Leah|title
Ardel Wray|James Villiers|person_name
Are All Men Pedophiles?|The Big Steal|title
Are We Done Yet?|Uro|title
Are We There Yet?|Dead Air|title
Are You Here|The Olsen Gang on the Track|title
Are You Listening?|The Bride Wore Red|title
Are You Scared?|Marvin's Room|title
Arena|Sucker Punch|title
Argo|The Tunnel of Love|title
Ari Folman|Art Carney|person_name
Ari Gold|Jackie Kallen|person_name
Ari Graynor|Aleksandr Misharin|person_name
Ari Handel|Barnet Kellman|person_name
Ari Taub|Mel Stuart|person_name
